id,state_id:id,code,name
canton_0101,state_ec_01,101,Cuenca
canton_0102,state_ec_01,102,Giron
canton_0103,state_ec_01,103,Gualaceo
canton_0104,state_ec_01,104,Nabon
canton_0105,state_ec_01,105,Paute
canton_0106,state_ec_01,106,Pucara
canton_0107,state_ec_01,107,San Fernando
canton_0108,state_ec_01,108,Santa Isabel
canton_0109,state_ec_01,109,Sigsig
canton_0110,state_ec_01,110,Oña
canton_0111,state_ec_01,111,Chordeleg
canton_0112,state_ec_01,112,El Pan
canton_0113,state_ec_01,113,Sevilla De Oro
canton_0114,state_ec_01,114,Guachapala
canton_0115,state_ec_01,115,Camilo Ponce Enriquez
canton_0201,state_ec_02,201,Guaranda
canton_0202,state_ec_02,202,Chillanes
canton_0203,state_ec_02,203,Chimbo
canton_0204,state_ec_02,204,Echeandia
canton_0205,state_ec_02,205,San Miguel
canton_0206,state_ec_02,206,Caluma
canton_0207,state_ec_02,207,Las Naves
canton_0301,state_ec_03,301,Azogues
canton_0302,state_ec_03,302,Biblian
canton_0303,state_ec_03,303,Cañar
canton_0304,state_ec_03,304,La Troncal
canton_0305,state_ec_03,305,El Tambo
canton_0306,state_ec_03,306,Deleg
canton_0307,state_ec_03,307,Suscal
canton_0401,state_ec_04,401,Tulcan
canton_0402,state_ec_04,402,Bolivar
canton_0403,state_ec_04,403,Espejo
canton_0404,state_ec_04,404,Mira
canton_0405,state_ec_04,405,Montufar
canton_0406,state_ec_04,406,San Pedro De Huaca
canton_0501,state_ec_05,501,Latacunga
canton_0502,state_ec_05,502,La Mana
canton_0503,state_ec_05,503,Pangua
canton_0504,state_ec_05,504,Pujili
canton_0505,state_ec_05,505,Salcedo
canton_0506,state_ec_05,506,Saquisili
canton_0507,state_ec_05,507,Sigchos
canton_0601,state_ec_06,601,Riobamba
canton_0602,state_ec_06,602,Alausi
canton_0603,state_ec_06,603,Colta
canton_0604,state_ec_06,604,Chambo
canton_0605,state_ec_06,605,Chunchi
canton_0606,state_ec_06,606,Guamote
canton_0607,state_ec_06,607,Guano
canton_0608,state_ec_06,608,Pallatanga
canton_0609,state_ec_06,609,Penipe
canton_0610,state_ec_06,610,Cumanda
canton_0701,state_ec_07,701,Machala
canton_0702,state_ec_07,702,Arenillas
canton_0703,state_ec_07,703,Atahualpa
canton_0704,state_ec_07,704,Balsas
canton_0705,state_ec_07,705,Chilla
canton_0706,state_ec_07,706,El Guabo
canton_0707,state_ec_07,707,Huaquillas
canton_0708,state_ec_07,708,Marcabeli
canton_0709,state_ec_07,709,Pasaje
canton_0710,state_ec_07,710,Piñas
canton_0711,state_ec_07,711,Portovelo
canton_0712,state_ec_07,712,Santa Rosa
canton_0713,state_ec_07,713,Zaruma
canton_0714,state_ec_07,714,Las Lajas
canton_0801,state_ec_08,801,Esmeraldas
canton_0802,state_ec_08,802,Eloy Alfaro
canton_0803,state_ec_08,803,Muisne
canton_0804,state_ec_08,804,Quininde
canton_0805,state_ec_08,805,San Lorenzo
canton_0806,state_ec_08,806,Atacames
canton_0807,state_ec_08,807,Rio Verde
canton_0901,state_ec_09,901,Guayaquil
canton_0902,state_ec_09,902,Alfredo Baquerizo Moreno
canton_0903,state_ec_09,903,Balao
canton_0904,state_ec_09,904,Balzar
canton_0905,state_ec_09,905,Colimes
canton_0906,state_ec_09,906,Daule
canton_0907,state_ec_09,907,Duran
canton_0908,state_ec_09,908,El Empalme
canton_0909,state_ec_09,909,El Triunfo
canton_0910,state_ec_09,910,Milagro
canton_0911,state_ec_09,911,Naranjal
canton_0912,state_ec_09,912,Naranjito
canton_0913,state_ec_09,913,Palestina
canton_0914,state_ec_09,914,Pedro Carbo
canton_0916,state_ec_09,916,Samborondon
canton_0918,state_ec_09,918,Santa Lucia
canton_0919,state_ec_09,919,Salitre
canton_0920,state_ec_09,920,San Jacinto De Yaguachi
canton_0921,state_ec_09,921,Playas (General Villamil)
canton_0922,state_ec_09,922,Simon Bolivar
canton_0923,state_ec_09,923,Coronel Marcelino Maridueña
canton_0924,state_ec_09,924,Lomas De Sargentillo
canton_0925,state_ec_09,925,Nobol (Vicente Piedrahita)
canton_0927,state_ec_09,927,General Antonio Elizalde
canton_0928,state_ec_09,928,Isidro Ayora
canton_1001,state_ec_10,1001,Ibarra
canton_1002,state_ec_10,1002,Antonio Ante
canton_1003,state_ec_10,1003,Cotacachi
canton_1004,state_ec_10,1004,Otavalo
canton_1005,state_ec_10,1005,Pimampiro
canton_1006,state_ec_10,1006,San Miguel De Urcuqui
canton_1101,state_ec_11,1101,Loja
canton_1102,state_ec_11,1102,Calvas
canton_1103,state_ec_11,1103,Catamayo
canton_1104,state_ec_11,1104,Celica
canton_1105,state_ec_11,1105,Chahuarpamba
canton_1106,state_ec_11,1106,Espindola
canton_1107,state_ec_11,1107,Gonzanama
canton_1108,state_ec_11,1108,Macara
canton_1109,state_ec_11,1109,Paltas
canton_1110,state_ec_11,1110,Puyango
canton_1111,state_ec_11,1111,Saraguro
canton_1112,state_ec_11,1112,Sozoranga
canton_1113,state_ec_11,1113,Zapotillo
canton_1114,state_ec_11,1114,Pindal
canton_1115,state_ec_11,1115,Quilanga
canton_1116,state_ec_11,1116,Olmedo
canton_1201,state_ec_12,1201,Babahoyo
canton_1202,state_ec_12,1202,Baba
canton_1203,state_ec_12,1203,Montalvo
canton_1204,state_ec_12,1204,Pueblo Viejo
canton_1205,state_ec_12,1205,Quevedo
canton_1206,state_ec_12,1206,Urdaneta
canton_1207,state_ec_12,1207,Ventanas
canton_1208,state_ec_12,1208,Vinces
canton_1209,state_ec_12,1209,Palenque
canton_1210,state_ec_12,1210,Buena Fe
