id,canton_id:id,code,name
parish_010101,canton_0101,10101,Bellavista
parish_010102,canton_0101,10102,Cañaribamba
parish_010103,canton_0101,10103,El Batan
parish_010104,canton_0101,10104,El Sagrario
parish_010105,canton_0101,10105,El Vecino
parish_010106,canton_0101,10106,Gil Ramirez Davalos
parish_010107,canton_0101,10107,Huaynacapac
parish_010108,canton_0101,10108,Machangara
parish_010109,canton_0101,10109,Monay
parish_010110,canton_0101,10110,San Blas
parish_010111,canton_0101,10111,San Sebastian
parish_010112,canton_0101,10112,Sucre
parish_010113,canton_0101,10113,Totoracocha
parish_010114,canton_0101,10114,Yanuncay
parish_010115,canton_0101,10115,Hermano Miguel
parish_010150,canton_0101,10150,Cuenca
parish_010151,canton_0101,10151,Baños
parish_010152,canton_0101,10152,Cumbe
parish_010153,canton_0101,10153,Chaucha
parish_010154,canton_0101,10154,Checa (Jidcay)
parish_010155,canton_0101,10155,Chiquintad
parish_010156,canton_0101,10156,Llacao
parish_010157,canton_0101,10157,Molleturo
parish_010158,canton_0101,10158,Nulti
parish_010159,canton_0101,10159,Octavio Cordero Palacios (Santa Rosa)
parish_010160,canton_0101,10160,Paccha
parish_010161,canton_0101,10161,Quingeo
parish_010162,canton_0101,10162,Ricaurte
parish_010163,canton_0101,10163,San Joaquin
parish_010164,canton_0101,10164,Santa Ana
parish_010165,canton_0101,10165,Sayausi
parish_010166,canton_0101,10166,Sidcay
parish_010167,canton_0101,10167,Sinincay
parish_010168,canton_0101,10168,Tarqui
parish_010169,canton_0101,10169,Turi
parish_010170,canton_0101,10170,Valle
parish_010171,canton_0101,10171,Victoria Del Portete (Irquis)
parish_010250,canton_0102,10250,Giron
parish_010251,canton_0102,10251,Asuncion
parish_010252,canton_0102,10252,San Gerardo
parish_010350,canton_0103,10350,Gualaceo
parish_010352,canton_0103,10352,Daniel Cordova Toral (El Oriente)
parish_010353,canton_0103,10353,Jadan
parish_010354,canton_0103,10354,Mariano Moreno
parish_010356,canton_0103,10356,Remigio Crespo Toral (Gulag)
parish_010357,canton_0103,10357,San Juan
parish_010358,canton_0103,10358,Zhidmad
parish_010359,canton_0103,10359,Luis Cordero Vega
parish_010360,canton_0103,10360,Simón Bolívar (Cab. En Gañanzol)
parish_010450,canton_0104,10450,Nabon
parish_010451,canton_0104,10451,Cochapata
parish_010452,canton_0104,10452,El Progreso
parish_010453,canton_0104,10453,Las Nieves (Chaya)
parish_010455,canton_0104,10455,La Paz
parish_010550,canton_0105,10550,Paute
parish_010552,canton_0105,10552,Bulan (Jose Victor Izquierdo)
parish_010553,canton_0105,10553,Chican (Guillermo Ortega)
parish_010554,canton_0105,10554,El Cabo
parish_010556,canton_0105,10556,Guarainag
parish_010559,canton_0105,10559,San Cristobal (Carlos Ordoñez Lazo)
parish_010561,canton_0105,10561,Tomebamba
parish_010562,canton_0105,10562,Dug-Dug
parish_010650,canton_0106,10650,Pucara
parish_010652,canton_0106,10652,San Rafael De Sharug
parish_010750,canton_0107,10750,San Fernando
parish_010751,canton_0107,10751,Chumblin
parish_010850,canton_0108,10850,Santa Isabel (Chaguarurco)
parish_010851,canton_0108,10851,Abdon Calderon (La Union)
parish_010852,canton_0108,10852,El Carmen De Pijili
parish_010853,canton_0108,10853,Zhaglli (Shaglli)
parish_010950,canton_0109,10950,Sigsig
parish_010951,canton_0109,10951,Cuchil (Cutchil)
parish_010952,canton_0109,10952,Gima
parish_010953,canton_0109,10953,Guel
parish_010954,canton_0109,10954,Ludo
parish_010955,canton_0109,10955,San Bartolome
parish_010956,canton_0109,10956,San Jose De Raranga
parish_011050,canton_0110,11050,San Felipe De Oña
parish_011051,canton_0110,11051,Susudel
parish_011150,canton_0111,11150,Chordeleg
parish_011151,canton_0111,11151,Principal
parish_011152,canton_0111,11152,La Union
parish_011153,canton_0111,11153,Luis Galarza Orellana
parish_011154,canton_0111,11154,San Martin De Puzhio
parish_011250,canton_0112,11250,El Pan
parish_011253,canton_0112,11253,San Vicente
parish_011350,canton_0113,11350,Sevilla De Oro
parish_011351,canton_0113,11351,Amaluza
parish_011352,canton_0113,11352,Palmas
parish_011450,canton_0114,11450,Guachapala
parish_011550,canton_0115,11550,Camilo Ponce Enriquez
parish_011551,canton_0115,11551,El Carmen De Pijili
parish_020101,canton_0201,20101,Angel Polibio Chavez
parish_020102,canton_0201,20102,Gabriel Ignacio Veintimilla
parish_020103,canton_0201,20103,Guanujo
parish_020150,canton_0201,20150,Guaranda
parish_020151,canton_0201,20151,Facundo Vela
parish_020153,canton_0201,20153,Julio E. Moreno (Catahuan Grande)
parish_020155,canton_0201,20155,Salinas
parish_020156,canton_0201,20156,San Lorenzo
parish_020157,canton_0201,20157,San Simon (Yacoto)
parish_020158,canton_0201,20158,Santafe (Santa Fe)
