id,code,name,country_id:id
state_ec_01,1,Azuay,base.ec
state_ec_02,2,Bolivar,base.ec
state_ec_03,3,Cañar,base.ec
state_ec_04,4,Carchi,base.ec
state_ec_05,5,Cotopaxi,base.ec
state_ec_06,6,Chimborazo,base.ec
state_ec_07,7,El Oro,base.ec
state_ec_08,8,Esmeraldas,base.ec
state_ec_09,9,Guayas,base.ec
state_ec_10,10,Imbabura,base.ec
state_ec_11,11,Loja,base.ec
state_ec_12,12,Los Rios,base.ec
state_ec_13,13,Manabi,base.ec
state_ec_14,14,Morona Santiago,base.ec
state_ec_15,15,Napo,base.ec
state_ec_16,16,Pastaza,base.ec
state_ec_17,17,Pichincha,base.ec
state_ec_18,18,Tungurahua,base.ec
state_ec_19,19,Zamora Chinchipe,base.ec
state_ec_20,20,Galapagos,base.ec
state_ec_21,21,Sucumbios,base.ec
state_ec_22,22,Orellana,base.ec
state_ec_23,23,Santo Domingo De Los Tsáchilas,base.ec
state_ec_24,24,Santa Elena,base.ec
